#;Author;Title;Year;ISBN;Publisher;LLC;Stock
1;Timur;Banana;;;;;0
2;;;;;;;0
3;Booch, Grady;Object-oriented analysis and design with applications;1994;9780805353402, 0805353402;Addison-Wesley;QA76.64 .B66 1994;20
4;Ross, Carl T. F.;Finite element programs in structural engineering and continuum mechanics;1996;9,78E+12;Woodhead Publishing;TA641    .R67 1996;16
5;Jacky, Jonathan;The way of Z;1997;521559766;Cambridge University Press,;QA76.73.Z2 .J33 1997;8
6;Biegler, L.T.;Systematic methods of chemical process design;1997;9780134924229, 0134924223;Prentice Hall PTR,;TP155.7 .B47 1997;2
7;Bellin, David;The CRC card book;1997;0201895358, 9780201895353;Addison-Wesley;QA76.64  .B437 1997;8
8;Bennett, Simon;Object-oriented systems analysis and design using UML;1999;9780077094973, 0077094972;McGraw Hill;QA402 .B46 1999;18
9;Bentley, Jon;Programming pearls;2000;9,78E+12;Addison-Wesley;QA76.6 .B453 2000;16
10;Lethbridge, Timothy C.;Object-oriented software engineering;2001;0077097610, 9780077097615;McGraw-Hill;QA76.76.D47 .L47 2001;18
11;Pierce, Benjamin C.;Types and programming languages;2002;9,78E+12;The MIT Press;QA76.7 .P54 2002;9
12;Gustafsson, Fredrik;Matlab for engineers explained;2003;9,78E+12;Springer;TA345 .G878 2003;1
13;Robinson, John A.;Software design for engineers and scientists;2004;9780750660808, 0750660805;Newnes;QA76.76.D47 .R63 2004;17
14;Haupt, Randy L.;Practical genetic algorithms;2004;9,78E+12;Wiley-Interscience;QA402.5 .H387 2004;10
15;Harel, David;Algorithmics:the spirit of computing;2004;9,78E+12;Addison-Wesley;QA 76  .H2833 1987;1
16;Yevick, David;A first course in computational physics and object-oriented programming with C++;2005;9,78E+12;Cambridge University Press;QA76.73.C153 .Y48 2005;7
17;Lauesen, Soren;User interface design:a software engineering perspective;2005;0321181433 , 9780321181435;Pearson Education;QA76.9.U83 .L38 2005;2
18;Craig, John J.;Introduction to robotics:Mechanics and control;2005;9,78E+12;Pearson Education;TJ211   .C67 2005;8
19;;Rules of thumb for chemical engineers:a manual of quick, accurate solutions to everyday process engineering problems;2005;9,78E+12;Elsevier;TP151 .R85 2005;16
20;Sayood, Khalid;Learning programming using MATLAB;2006;9,78E+12;Morgan & Claypool; ;13
21;Lloyd, Seth;Programming the universe:a quantum computer scientist takes on the cosmos;2006;9,78E+12;Vintage Books;QC174.12 .L57 2006;12
22;;Handbook of applied algorithms:solving scientific, engineering, and practical problems;2007;9,78E+12;John Wiley & Sons;QA76.9.A43  H353 2008 ;9
23;;Multi-parametric programming. Volume 1,Theory, algorithms, and programming;2007;9,78E+12;Wiley-VCH;T57.7 .M85 2007;6
24;;Multi-parametric model-based control. Volume 2,Theory and applications;2007;9,78E+12;Wiley-VCH;T57.7 .M85 2007;5
25;;Summary of a workshop on software-intensive systems and uncertainty at scale;2007.;9780309108454 (electronic bk.), 0309108454 (electronic bk.);National Academies Press / National Academy Press;QA76.758 .S86 2007eb;2
26;Grout, Ian.;Digital systems design with FPGAs and CPLDs;2008;9,78E+12;Elsevier;TK7868.D5   .G76 2008;19
27;;Computational geometry:algorithms and applications;2008;9783540779735, 9783540779742;Springer;QA448.D38 .C65 2008;5
28;Xue, Dingyu;Solving applied mathematical problems with MATLAB;2009;9781420082500 , 1420082507;CRC Press/Taylor & Francis;TA331   .X84 2009;11
29;Strang, Gilbert;Introduction to linear algebra;2009;9,78E+12;Wellesley Cambridge Press;QA184   .S78 2009;9
30;Musto, Joseph C.;Engineering computations:an introduction using MATLAB and Excel;2009;9,78E+12;McGraw - Hill;TA329  .M87 2009;7
31;Langtangen, Hans Petter;Python scripting for computational science;2009;9,78E+12;Springer;QA76.73.P98   L36 2004;20
32;;Numerical methods in engineering with MATLAB;2009;9780511812200 (ebook), 9780521191333 (hardback);Cambridge University Press; ;19
33;;Intelligent robotics and applications:second International Conference, ICIRA 2009, Singapore, December 16 - 18, 2009;2009;9783642108167, 3642108164;Springer;TJ211 .I27 2009;4
34;;Advances in electrical engineering and computational science;2009;9789048123100, 9789048123117;Springer;TK5 .W655 2008;5
